image_path,caption
/home/neemias/perceptsent/data/1XzFQlzojZ9fSYWGo63GiCwWNhwEdp4Ft.jpg,"​

Positive: This image depicts a beautiful sunset with clouds in the sky, which is a positive sentiment. The colors are soft and muted, creating a peaceful and calming atmosphere. The image is well-composed, with the silhouette of the trees in the foreground and the sun setting behind them, creating a sense of depth. The overall feeling of the image is one of serenity and contentment.

Neutral: This image is neutral in sentiment as it does not evoke any particularly strong emotions. The sky is cloudy, but the colors are muted, making it difficult to determine whether the weather is good or bad. The image is well-composed, with the trees in the foreground and the sun setting behind them, but this does not create any particular emotion. Overall, the image is neutral in sentiment.

Negative: This image is negative in sentiment as it evokes feelings of sadness and melancholy. The sky is cloudy and gray, which creates a sense of gloominess. The image is well-composed, but the trees in the foreground create a sense of isolation and loneliness. The overall feeling of the image is one of sadness and despair."
/home/neemias/perceptsent/data/1nQh6fn5UE-1G9AbpdBXHrv7_C7gkfOZL.jpg,"1. Positive

2. Neutral
3. Negative"
/home/neemias/perceptsent/data/1cZpWgLc7kkCVhGIel7TrwGeb5ZbljhEl.jpg,"1. Positive

2. Neutral
3. Negative"
/home/neemias/perceptsent/data/1WQYnsLVmufH2OStFyLIft9V1mPo_iely.jpg,"​

Positive: The image shows a dog sitting behind a fence, looking happy and content.

Neutral: The image is a black and white photograph of a dog sitting behind a fence, but there is no clear emotion on the dog's face to classify it as positive or negative.

Negative: The image shows a dog sitting behind a fence, looking sad and dejected."
/home/neemias/perceptsent/data/1rkalNAiyrtCzbSIhdlOlebNJu0BlQFQJ.jpg,"​

Positive: This image depicts a peaceful and serene atmosphere with the foggy mist covering the water, reflecting the lights of the buildings in the background. The empty chairs on the pier add to the tranquility of the scene.

Neutral: The image is a representation of a typical cityscape at dusk, with the fog adding an eerie feel to it. The buildings are lit up, but the lack of people in the scene makes it seem deserted.

Negative: The image shows a gloomy and desolate scene, with the fog obscuring the view of the cityscape. The absence of people and the dim lighting give an eerie feeling to the scene."
/home/neemias/perceptsent/data/1v5feHIm26a5sNO7Vmzq-FaCRSiz-Upjj.jpg,"1. Positive: The image shows a car with various items scattered around it, suggesting that the driver has been involved in an accident and left the scene.

2. Neutral: The image shows a car with various items scattered around it, but there is no clear indication of what has happened or why the items are there.

3. Negative: The image shows a car with various items scattered around it, suggesting that the driver has been involved in an accident and left the scene, which could be considered negative."
/home/neemias/perceptsent/data/1M2gWGtKMti1nn2yk9apA7VkjOeR246yZ.jpg,"​

Positive: The image shows a lighthouse on a hill, surrounded by green grass and a clear blue sky. It is a symbol of hope and guidance for sailors, and it represents safety and security.

Neutral: The image shows a lighthouse on a hill, but there is no emotion or sentiment expressed in the picture.

Negative: The image shows a lighthouse on a hill, but it is covered in fog, making it difficult to see. This could represent a dangerous situation for sailors, and it may not be a positive or negative image."
/home/neemias/perceptsent/data/1DPNKx7EUSXruPrSgNOEaT8Xk3WB7f_OG.jpg,"​

Positive: The image shows a beautiful landscape with rolling green hills and a clear blue sky. The sun is setting in the background, casting warm orange and yellow hues across the scene. The overall feeling of the image is peaceful and serene, which evokes positive emotions.

Neutral: The image shows a typical landscape with green hills and a blue sky. There are no notable features that evoke strong emotions, making it a neutral image.

Negative: The image does not have any negative elements that would evoke negative emotions."
/home/neemias/perceptsent/data/1f5LRNtV62myt7tlFKyzthW4BwsKCnpEz.jpg,"​

Positive: This image shows a well-maintained and clean residential street with trees and flowers in bloom. The houses are well-maintained, and the fences and gates are neatly kept. The sky is clear and sunny, adding to the overall positive atmosphere of the scene.

Neutral: The image shows a typical residential street with no particular features that would make it stand out. The houses are ordinary, and the trees and flowers are not particularly impressive. The sky is cloudy, which adds a neutral tone to the scene.

Negative: The image shows an empty and deserted residential street with no signs of life. The houses are old and run down, and the fences and gates are rusty and broken. The sky is overcast, adding to the overall negative atmosphere of the scene."
/home/neemias/perceptsent/data/1do1mZUPtmneqTo5HYRx7JZGITrwimtG9.jpg,"​

Positive: This image depicts a beautiful purple flower with white petals and green leaves in the background. The flower is in full bloom, and its delicate petals are swaying gently in the breeze. The overall effect is one of peacefulness and serenity.

Neutral: This image shows a purple flower with white petals and green leaves. The flower is in the process of blooming, but it is not yet fully open. The leaves are a healthy green color, and there is no obvious defect or damage to the plant. The overall effect is one of normalcy and balance.

Negative: This image shows a withered and dried up purple flower with brown petals and dry leaves. The flower is completely wilted, and there is no sign of life left in it. The leaves are a dull brown color, and they appear to be withered as well. The overall effect is one of death and decay."
/home/neemias/perceptsent/data/10GkwZq03hF7hMNtGx9u22EwAAfGzB2BQ.jpg,"​

Positive: This image shows a beautiful winter scene with snow-covered trees and a clear blue sky. It evokes feelings of peace, tranquility, and serenity. The positive sentiment is emphasized by the bright sun shining through the clouds, casting a warm glow over the landscape.

Neutral: The image is neutral as it depicts a natural scene without any obvious human presence or activity. The neutral sentiment is emphasized by the absence of any distinct emotions or feelings.

Negative: There is no negative sentiment in this image. The negative sentiment is not applicable as the image only depicts a natural scene without any obvious human presence or activity."
/home/neemias/perceptsent/data/1onrtzXuIlXx6H44OAsnTWclEBNhe8bz3.jpg,"​

Positive: The image shows a person standing in front of a large pile of trash, which suggests that they are working to clean up the environment. This is a positive sentiment as it shows that the person is taking action to improve their surroundings.

Neutral: The image does not evoke any particular emotion or sentiment. It simply shows a person standing in front of a pile of trash, which could be interpreted in different ways depending on the context.

Negative: The image does not evoke any negative sentiment. It simply shows a person standing in front of a pile of trash, which could be interpreted in different ways depending on the context."
/home/neemias/perceptsent/data/1-A9iqTeYLKJulnHGTWbnhfI56k8E6exB.jpg,"​

Positive: This image shows a car that has flipped over on its side in the middle of a city street. The car appears to be damaged, but it is still upright and not completely destroyed. This suggests that the driver was able to avoid more serious damage or injury. Therefore, this image can be classified as positive.

Neutral: This image shows a car that has flipped over on its side in the middle of a city street. The car appears to be damaged, but it is still upright and not completely destroyed. This suggests that the driver was able to avoid more serious damage or injury. Therefore, this image can be classified as neutral.

Negative: This image shows a car that has flipped over on its side in the middle of a city street. The car appears to be damaged, but it is still upright and not completely destroyed. This suggests that the driver was able to avoid more serious damage or injury. Therefore, this image cannot be classified as negative."
/home/neemias/perceptsent/data/16BV-1aE7RsviK-bjGjct5YUEkV0sMvaO.jpg,"​

Positive: The image shows a group of people walking together, which suggests a positive sentiment.

Neutral: The image does not show any particular emotion or sentiment, so it can be considered neutral.

Negative: There is no indication of a negative sentiment in the image."
/home/neemias/perceptsent/data/18o1xQxCr3SmWt53U6tQJ00nHClLf3uOo.jpg,"​

Positive: The image shows a group of people living in tents in a desert area. They appear to be well-organized and have set up their tents in a neat row. The sky is clear, indicating good weather.

Neutral: The image shows a group of people living in tents in a desert area. The tents are set up in a row, but there is no indication of their condition or the people's feelings. The sky is cloudy, indicating uncertain weather.

Negative: The image shows a group of people living in tents in a desert area. The tents are disorganized and not set up in a neat row. The sky is cloudy, indicating uncertain weather. There is also a sense of desperation in the people's faces."
/home/neemias/perceptsent/data/1uj1WfWnaqkJ4nSyuazZu-REV9UoZ2gTQ.jpg,"​

Positive: The image shows a pair of glasses lying on the ground, which suggests that someone has lost or discarded them. However, the fact that they are still intact and not damaged suggests that they were not broken or destroyed, which implies that the person who lost them did not need them urgently and may have simply misplaced them. This suggests a sense of carelessness or lack of concern, but also implies that the person is fortunate enough to have access to replacement glasses if needed. Therefore, the overall sentiment is positive.

Neutral: The image shows a pair of glasses lying on the ground, which suggests that someone has lost or discarded them. However, the fact that they are still intact and not damaged suggests that they were not broken or destroyed, which implies that the person who lost them did not need them urgently and may have simply misplaced them. This suggests a sense of carelessness or lack of concern, but also implies that the person is fortunate enough to have access to replacement glasses if needed. Therefore, the overall sentiment is neutral.

Negative: The image shows a pair of glasses lying on the ground, which suggests that someone has lost or discarded them. However, the fact that they are still intact and not damaged suggests that they were not broken or destroyed, which implies that the person who lost them did"
/home/neemias/perceptsent/data/1vIrpiMFow4QmCFJ__oO-JsEPSfcfA-1a.jpg,"​

Positive: This image shows a beautiful beach with clear blue water and white sand. The sky is clear and sunny, and there are no clouds in the sky. The landscape is peaceful and serene, with no signs of human activity. The image is well-composed, with the horizon line dividing the image into two equal parts. The colors are vibrant and lifelike, with the blue water and white sand standing out against the green grass and trees.

Neutral: This image shows a beach with clear blue water and white sand. The sky is cloudy, but not overcast. There are some trees and grass on the land, but no signs of human activity. The image is well-composed, with the horizon line dividing the image into two equal parts. The colors are muted and lackluster, with the blue water and white sand blending into the gray sky and grass.

Negative: This image shows a beach with dirty water and debris on the sand. The sky is cloudy and overcast, with no sunshine visible. There are no trees or grass on the land, and there are no signs of human activity. The image is poorly composed, with the horizon line uneven and the subjects cluttered. The colors are dull and unappealing, with the dirty water and debris standing out against the gray sky and sand."
/home/neemias/perceptsent/data/10sDj8IGj4M36paKaPccRWffSDSnCETkm.jpg,"This image is a close-up of the steering wheel of an old car. The car appears to be in poor condition, with rust and dirt covering the exterior. The steering wheel has a worn leather cover and is covered in dust and debris. The overall sentiment of this image is negative, as it depicts a dilapidated and abandoned vehicle."
/home/neemias/perceptsent/data/10uSEjJR8M9kPmLkjVtkRusd7N-Y176SO.jpg,"​

Positive: This image depicts a beautiful view of the city at night, with bright lights illuminating the buildings and water. It is likely to evoke feelings of excitement and wonder in the viewer.

Neutral: The image is a blurry representation of a city skyline at night, but it does not have any particular emotional impact on the viewer.

Negative: The image is too blurry to make out any details of the city or its surroundings, and therefore does not evoke any emotions in the viewer."
/home/neemias/perceptsent/data/1BrAuT-nWDcamNvIDAUMJwqm6LpjhPgmq.jpg,"​

Positive: The image shows a group of people, including police officers, interacting with each other in a peaceful manner. They are all smiling and appear to be having a good time. This suggests that the overall sentiment of the image is positive.

Neutral: The image does not show any clear emotions or sentiments, so it can be considered neutral. There is no obvious negative or positive aspect to the scene, so it is difficult to assign a sentiment to it.

Negative: The image does not show any clear negative emotions or sentiments, so it cannot be considered negative. There is no obvious negative aspect to the scene, so it is difficult to assign a sentiment to it."
