epoch,train_accuracy,train_f1_score,val_accuracy,val_f1_score
1,0.23595505617977527,0.25801857401394307,0.5393258426966292,0.43631034329617624
2,0.4859550561797753,0.4904702304786001,0.550561797752809,0.45961665565102444
3,0.6601123595505618,0.6593213042431092,0.6741573033707865,0.6207291905526255
4,0.7612359550561798,0.7673226335279505,0.550561797752809,0.5674813622253458
5,0.8595505617977528,0.8614426044766178,0.5393258426966292,0.5855867106734872
6,0.8848314606741573,0.8934554807280433,0.6966292134831461,0.7012388360702967
7,0.949438202247191,0.9512593135801422,0.6741573033707865,0.6866129033485627
8,0.9578651685393258,0.9617290094804161,0.7303370786516854,0.7066578158237324
9,0.9887640449438202,0.9895085109618641,0.6629213483146067,0.6597308919406298
10,0.9943820224719101,0.9943996737555846,0.6853932584269663,0.678941762327135
11,0.9971910112359551,0.9972432346890332,0.6966292134831461,0.6738006762706491
12,1.0,1.0,0.6741573033707865,0.6596891161160993
13,1.0,1.0,0.6853932584269663,0.6660174126419937
14,1.0,1.0,0.6853932584269663,0.6660174126419937
15,1.0,1.0,0.6853932584269663,0.6660174126419937
16,1.0,1.0,0.6853932584269663,0.6660174126419937
17,1.0,1.0,0.6853932584269663,0.6660174126419937
18,1.0,1.0,0.6853932584269663,0.6660174126419937
19,1.0,1.0,0.6853932584269663,0.6660174126419937
20,1.0,1.0,0.6853932584269663,0.6660174126419937
